,town,year,tenant_rental_assistance,total_assisted_units
739,Harwinton,2012,0,48.0
740,Hebron,2012,3,98.0
741,Kent,2012,0,52.0
742,Killingly,2012,120,959.0
743,Killingworth,2012,2,12.0
744,Lebanon,2012,4,86.0
745,Ledyard,2012,6,206.0
746,Lisbon,2012,0,45.0
747,Litchfield,2012,1,182.0
748,Madison,2012,1,128.0
749,Manchester,2012,1074,3807.0
750,Mansfield,2012,153,658.0
751,Marlborough,2012,0,44.0
752,Meriden,2012,1008,3810.0
753,Middlebury,2012,4,100.0
754,Middlefield,2012,1,42.0
755,Middletown,2012,987,4416.0
756,Milford,2012,277,1396.0
757,Monroe,2012,1,56.0
758,Montville,2012,30,312.0
759,Morris,2012,2,22.0
760,Naugatuck,2012,293,1086.0
761,New Britain,2012,1627,6345.0
762,New Canaan,2012,10,183.0
763,New Fairfield,2012,0,38.0
764,New Hartford,2012,1,66.0
765,New Haven,2012,6138,16020.0
766,New London,2012,144,2356.0
767,New Milford,2012,259,631.0
768,Newington,2012,105,933.0
769,Newtown,2012,2,174.0
770,Norfolk,2012,0,31.0
771,North Branford,2012,7,124.0
772,North Canaan,2012,0,108.0
773,North Haven,2012,28,446.0
774,North Stonington,2012,1,22.0
775,Norwalk,2012,947,4049.0
776,Norwich,2012,728,3152.0
777,Old Lyme,2012,1,71.0
778,Old Saybrook,2012,5,72.0
779,Orange,2012,4,59.0
780,Oxford,2012,1,45.0
781,Plainfield,2012,224,898.0
782,Plainville,2012,25,571.0
783,Plymouth,2012,5,336.0
784,Pomfret,2012,2,51.0
785,Portland,2012,92,328.0
786,Preston,2012,4,80.0
787,Prospect,2012,4,29.0
788,Putnam,2012,73,589.0
789,Redding,2012,0,0.0
790,Ridgefield,2012,0,220.0
791,Rocky Hill,2012,29,438.0
792,Roxbury,2012,0,20.0
793,Salem,2012,0,29.0
794,Salisbury,2012,1,32.0
795,Scotland,2012,0,11.0
796,Seymour,2012,16,367.0
797,Sharon,2012,0,24.0
798,Shelton,2012,21,440.0
799,Sherman,2012,1,2.0
800,Simsbury,2012,11,310.0
801,Somers,2012,7,79.0
802,South Windsor,2012,54,716.0
803,Southbury,2012,2,105.0
804,Southington,2012,42,983.0
805,Sprague,2012,9,60.0
806,Stafford,2012,11,349.0
807,Stamford,2012,1605,7827.0
808,Sterling,2012,1,36.0
809,Stonington,2012,17,365.0
810,Stratford,2012,375,1191.0
811,Suffield,2012,0,279.0
812,Thomaston,2012,4,200.0
813,Thompson,2012,13,246.0
814,Tolland,2012,1,180.0
815,Torrington,2012,297,2007.0
816,Trumbull,2012,12,676.0
817,Union,2012,0,9.0
818,Vernon,2012,533,2283.0
819,Voluntown,2012,2,45.0
820,Wallingford,2012,140,955.0
821,Warren,2012,0,4.0
822,Washington,2012,0,37.0
823,Waterbury,2012,3149,10601.0
824,Waterford,2012,17,348.0
825,Watertown,2012,24,364.0
826,West Hartford,2012,943,2075.0
827,West Haven,2012,1503,2942.0
828,Westbrook,2012,8,185.0
829,Weston,2012,1,1.0
830,Westport,2012,20,282.0
831,Wethersfield,2012,127,968.0
832,Willington,2012,2,199.0
833,Wilton,2012,5,236.0
834,Winchester,2012,269,707.0
835,Windham,2012,436,2576.0
836,Windsor,2012,282,841.0
837,Windsor Locks,2012,178,497.0
